Target_index,Ping_index,Ping_date,Ping_time,Ping_milliseconds,Range,Depth
89,240,3/5/2019,10:10:24,432,4.295922234,4.492830906
90,241,3/5/2019,10:10:24,842,3.905801567,4.096209862
91,241,3/5/2019,10:10:24,842,3.991092825,4.181672971
92,255,3/5/2019,10:10:30,433,4.186177121,4.374539971
93,255,3/5/2019,10:10:30,433,4.246943389,4.4440395
94,264,3/5/2019,10:10:34,32,3.662202754,3.845121644
95,274,3/5/2019,10:10:38,33,4.198550889,4.379224712
96,276,3/5/2019,10:10:38,832,4.259583846,4.441711591
97,282,3/5/2019,10:10:41,232,4.198676126,4.389503634
98,283,3/5/2019,10:10:41,632,4.222474222,4.419256786
99,285,3/5/2019,10:10:42,431,3.796083773,3.988399452
100,285,3/5/2019,10:10:42,431,3.894114636,4.086762049
101,285,3/5/2019,10:10:42,431,4.271563111,4.460361093
102,286,3/5/2019,10:10:42,831,3.832741532,4.028629049
103,286,3/5/2019,10:10:42,831,3.917945115,4.112782907
104,286,3/5/2019,10:10:42,831,4.088827158,4.277893948
105,286,3/5/2019,10:10:42,831,4.283780755,4.468492837
106,288,3/5/2019,10:10:43,632,4.100949045,4.288152545
107,289,3/5/2019,10:10:44,32,4.161729485,4.357745917
108,290,3/5/2019,10:10:44,432,4.22261368,4.422338474
109,291,3/5/2019,10:10:44,832,4.295849206,4.491521552
110,307,3/5/2019,10:10:51,232,3.686471176,3.872235953
111,307,3/5/2019,10:10:51,232,3.771788201,3.960024128
112,307,3/5/2019,10:10:51,232,3.869584941,4.058362097
113,308,3/5/2019,10:10:51,632,3.808740471,4.000803331
114,308,3/5/2019,10:10:51,632,3.893875635,4.087606739
115,309,3/5/2019,10:10:52,32,3.820896993,4.014090175
116,309,3/5/2019,10:10:52,32,3.906103641,4.099822606
117,310,3/5/2019,10:10:52,432,3.540166416,3.733440328
118,310,3/5/2019,10:10:52,432,3.820498544,4.011480996
119,311,3/5/2019,10:10:52,832,3.41862865,3.605349006
120,311,3/5/2019,10:10:52,832,3.515910628,3.703241854
121,313,3/5/2019,10:10:53,633,3.39413039,3.592116856
122,314,3/5/2019,10:10:54,32,3.418575278,3.616442244
123,315,3/5/2019,10:10:54,432,3.235753076,3.428413031
124,315,3/5/2019,10:10:54,432,3.442697557,3.638233524
125,315,3/5/2019,10:10:54,432,3.527987612,3.725464171
126,316,3/5/2019,10:10:54,833,3.260045849,3.454384917
127,317,3/5/2019,10:10:55,232,3.052785038,3.246231744
128,317,3/5/2019,10:10:55,232,3.137945761,3.330931033
129,317,3/5/2019,10:10:55,232,3.54061988,3.733277967
130,317,3/5/2019,10:10:55,232,3.625627713,3.822032115
131,318,3/5/2019,10:10:55,631,3.41839003,3.61659254
132,318,3/5/2019,10:10:55,631,3.503675356,3.700341013
133,319,3/5/2019,10:10:56,44,3.369802159,3.561046912
134,319,3/5/2019,10:10:56,44,3.528180832,3.727351288
135,320,3/5/2019,10:10:56,432,3.552754808,3.752090977
136,320,3/5/2019,10:10:56,432,3.808611519,3.987011812
137,321,3/5/2019,10:10:56,832,3.820805404,4.008992866
138,322,3/5/2019,10:10:57,230,3.662250747,3.861207203
139,322,3/5/2019,10:10:57,230,3.918140744,4.108285268
140,323,3/5/2019,10:10:57,632,3.69902233,3.898039802
141,323,3/5/2019,10:10:57,632,3.832896588,4.026604188
142,324,3/5/2019,10:10:58,31,3.722989751,3.917471518
143,325,3/5/2019,10:10:58,432,3.759751419,3.946335753
144,328,3/5/2019,10:10:59,632,4.052277276,4.238735355
145,329,3/5/2019,10:11:00,32,4.088774686,4.282978899
146,329,3/5/2019,10:11:00,32,4.173978712,4.369314365
147,330,3/5/2019,10:11:00,432,4.113477787,4.306986001
148,331,3/5/2019,10:11:00,833,3.394128292,3.588657326
149,331,3/5/2019,10:11:00,833,3.479364223,3.675125305
150,331,3/5/2019,10:11:00,833,3.601335602,3.786103232
151,331,3/5/2019,10:11:00,833,4.13755322,4.326979144
152,332,3/5/2019,10:11:01,232,3.418498861,3.618474231
153,332,3/5/2019,10:11:01,232,3.613269095,3.807697071
154,333,3/5/2019,10:11:01,632,3.454740559,3.651739799
155,333,3/5/2019,10:11:01,632,3.650073387,3.847696024
156,333,3/5/2019,10:11:01,632,3.735296374,3.933348558
157,334,3/5/2019,10:11:02,32,3.515892618,3.703554404
158,335,3/5/2019,10:11:02,432,3.698756809,3.891765659
159,335,3/5/2019,10:11:02,432,4.21039331,4.39852775
160,337,3/5/2019,10:11:03,231,4.064327441,4.253389936
161,337,3/5/2019,10:11:03,231,4.149623705,4.338175541
162,338,3/5/2019,10:11:03,632,4.125512661,4.31166591
163,367,3/5/2019,10:11:15,232,3.845189898,4.035255424
164,375,3/5/2019,10:11:18,432,3.650101354,3.829330663
165,376,3/5/2019,10:11:18,831,3.60115694,3.788962564
166,376,3/5/2019,10:11:18,831,3.710885897,3.897708608
167,377,3/5/2019,10:11:19,232,3.564828965,3.761278074
168,378,3/5/2019,10:11:19,633,3.528036191,3.72771715
169,379,3/5/2019,10:11:20,32,3.503626343,3.70316655
170,380,3/5/2019,10:11:20,433,3.503829932,3.69892148
171,381,3/5/2019,10:11:20,831,3.430496952,3.617884478
172,381,3/5/2019,10:11:20,831,3.515751823,3.703055711
173,383,3/5/2019,10:11:21,632,1.005417186,1.201135923
174,384,3/5/2019,10:11:22,32,3.552609864,3.73472694
175,385,3/5/2019,10:11:22,431,3.772061009,3.959816667
176,386,3/5/2019,10:11:22,833,3.796372114,3.986374233
177,387,3/5/2019,10:11:23,232,3.662209779,3.859216483
178,387,3/5/2019,10:11:23,232,3.90602979,4.098587543
179,387,3/5/2019,10:11:23,232,3.991481803,4.190418196
180,388,3/5/2019,10:11:23,632,3.735237246,3.933537736
181,388,3/5/2019,10:11:23,632,4.027775015,4.22596177
182,389,3/5/2019,10:11:24,31,3.796151577,3.992420122
183,390,3/5/2019,10:11:24,432,3.930588857,4.121801808
184,391,3/5/2019,10:11:24,832,3.918215363,4.096988311
185,392,3/5/2019,10:11:25,231,4.235151038,4.423650571
186,395,3/5/2019,10:11:26,443,3.979366327,4.164679978
187,395,3/5/2019,10:11:26,443,4.137314867,4.336697726
188,395,3/5/2019,10:11:26,443,4.222611123,4.419812801
189,396,3/5/2019,10:11:26,832,4.13772106,4.323796676
190,396,3/5/2019,10:11:26,832,4.259509154,4.455963317
191,398,3/5/2019,10:11:27,633,3.905788923,4.098244403
192,398,3/5/2019,10:11:27,633,4.125223251,4.307116181
193,399,3/5/2019,10:11:28,32,3.577237003,3.769943421
194,399,3/5/2019,10:11:28,32,3.662351691,3.85648171
195,399,3/5/2019,10:11:28,32,3.905804045,4.099713398
196,400,3/5/2019,10:11:28,432,3.515751156,3.708872099
197,400,3/5/2019,10:11:28,432,3.601141216,3.793545977
198,400,3/5/2019,10:11:28,432,3.808370061,3.992458756
199,400,3/5/2019,10:11:28,432,4.101013938,4.290522424
200,401,3/5/2019,10:11:28,832,3.650154187,3.837037025
201,401,3/5/2019,10:11:28,832,4.052222575,4.247048031
202,401,3/5/2019,10:11:28,832,4.100988734,4.294424911
203,401,3/5/2019,10:11:28,832,4.137607036,4.331609378
204,402,3/5/2019,10:11:29,234,4.003178663,4.196160153
205,403,3/5/2019,10:11:29,632,3.589273605,3.772912067
206,403,3/5/2019,10:11:29,632,3.991380737,4.174687463
207,406,3/5/2019,10:11:30,831,3.46748678,3.656986043
208,408,3/5/2019,10:11:31,632,3.954889116,4.14477552
209,409,3/5/2019,10:11:32,31,3.89374989,4.08487749
210,409,3/5/2019,10:11:32,31,4.076770443,4.263551088
211,410,3/5/2019,10:11:32,432,3.857361935,4.044746622
212,411,3/5/2019,10:11:32,832,4.003381111,4.19182488
213,412,3/5/2019,10:11:33,232,4.015649825,4.197210427
214,413,3/5/2019,10:11:33,632,3.966967457,4.144444208
215,419,3/5/2019,10:11:36,33,4.247181193,4.432118522
216,420,3/5/2019,10:11:36,432,3.83259831,4.026363852
217,420,3/5/2019,10:11:36,432,3.917820162,4.111653321
218,420,3/5/2019,10:11:36,432,4.01586748,4.211354437
219,421,3/5/2019,10:11:36,842,3.9421493,4.140686055
220,421,3/5/2019,10:11:36,842,4.040247362,4.238965046
221,422,3/5/2019,10:11:37,232,2.394742445,2.586567856
222,422,3/5/2019,10:11:37,232,3.893778777,4.091061761
223,422,3/5/2019,10:11:37,232,3.97909715,4.176580738
224,422,3/5/2019,10:11:37,232,4.064296686,4.261825287
225,423,3/5/2019,10:11:37,632,4.003734249,4.201591502
226,425,3/5/2019,10:11:38,433,4.137627929,4.324416518
227,428,3/5/2019,10:11:39,632,3.637784563,3.822229337
228,428,3/5/2019,10:11:39,632,3.699016857,3.887489087
229,429,3/5/2019,10:11:40,32,3.662203089,3.855415303
